	47,413,792,495
704420	63,121,47
704421	47,495
704422	1104,47
704423	294,1698,3213,1496,47,1321
704424	374,47
704425	110,47
704426	414,121,47,495
704427	482,312,371,407,334,181,33,311,5,125,281,66,413,320,708,1101,326,259,123,11,1934,431,4,173,31,294,3,158,121,69,237,449,101,654,134,108,47,210,507,195,258,343,53,105
704428	341,1397,47
704429	839,47
704430	47,495
704431	139,312,434,355,334,22,389,63,33,1023,140,413,12,61,2,186,293,374,214,294,570,158,121,255,261,552,654,147,47,159,80,195,16,48,5
704432	942,294,47,334,437
704433	47,186,214,503
704434	371,214,47
704435	431,139,47
704436	101,294,2,719,78,206,156,47,527,800,186,784,140
704437	214,47,334
704438	503,294,1032,371,78,47,39,25,400,158,3,431,5,486,214
704439	294,47,334
704440	440,47
704441	47,16
704442	47,768
704443	3498,225,31,9,712,47,695,36
704444	193,153,114,376,134,284,47,495,7,26,181,89
704445	1825,49,162,414,283,47,952,3,272,422,3390,76,2347,2923,611
704446	47,495
704447	47,495
704448	920,460,47
704449	503,214,47,495
704450	162,288,9,92,1177,202,151,78,47,141,138,137
704451	374,47,495
704452	271,224,47
704453	159,2043,47,495
704454	47,986,24
704455	72,47
704456	1435,91,132,47,334,3,495,158,80,63,321,57,784,173,552,89
704457	312,94,326,47,123,1045,5
704458	321,47
704459	202,975,47,110,419
704460	31,294,1099,164,1029,47,1500,309,1380,486
704461	162,709,371,1042,63,784,94,2,214,612,412,527,2048,655,525,47,229,154,285,183,48,3633
704462	1408,47
704463	150,212,47,402,367,265,16,173
704464	147,4,802,47
704465	139,47,391
704466	437,47
704467	47,334,437,1154,230,173
704468	47,8
704469	24,78,47,495,229
704470	920,47
704471	20,47,495,6,26,40
704472	47,495
704473	47,495
704474	203,101,1011,47,1415
704475	503,967,47,334,121,214
704476	47,495
704477	96,161,24,1197,1058,137,12,1343,2,11,196,2036,59,40,50,20,3121,120,512,141,602,632,975,47,489
704478	47,77
704479	71,245,31,91,104,299,47,117,25,82,495,30,265,51,33,112,287
704480	437,214,47
704481	1735,371,22,696,12,447,214,503,294,3440,661,261,1435,1267,47,768,229,437,156
704482	503,132,371,47,334,186,63,285,437,121,321,389,48,249,214
704483	71,371,47,229,156
704484	47,495
704485	47,654,1656,1189
