	1207,37,152
1649501	766,97,90,266,208,329,2384,37
1649502	37,2177
1649503	125,465,139,884,1019,44,24,446,94,612,271,129,33,16,8,756,37,500
1649504	37,131
1649505	705,37,436,1063
1649506	37,152,769
1649507	833,37,31
1649508	125,663,37
1649509	35,56,3380,90,95,146,37
1649510	37,421
1649511	56,122,429,218,15,131,37,176
1649512	37,365,2031
1649513	81,93,146,98,680,221,37,899
1649514	221,37,131,365
1649515	104,1198,187,1213,37
1649516	56,269,467,205,266,678,32,254,251,93,455,411,133,81,584,1217,295,891,15,152,337,37,438,595,217,192,282,252,691
1649517	884,37
1649518	233,840,1234,167,37
1649519	228,37
1649520	1890,37,169
1649521	221,14,37,131
1649522	1001,657,417,685,2031,705,37
1649523	610,2403,382,37,862
1649524	37,176
1649525	2437,1221,740,131,510,37
1649526	127,1102,592,219,87,133,2891,230,714,2384,19,228,37,157,2968
1649527	136,37,131
1649528	296,95,685,2438,502,37,1853,1265
1649529	37,152,131
1649530	107,37,436
1649531	127,35,921,14,467,205,179,37,325,32,131,257,221,584
1649532	269,37
1649533	223,37,46
1649534	160,133,1815,267,876,37,1537
1649535	1890,37
1649536	308,17,37,272
1649537	37,316
1649538	37,131
1649539	37,387,46
1649540	37,177
1649541	127,37,292,131
1649542	378,49,85,731,518,217,146,272,236,60,37
1649543	37,216
1649544	154,37,405,436
1649545	127,14,188,1394,131,37
1649546	37,764
1649547	127,618,85,921,122,90,365,133,373,146,450,37
1649548	1890,37
1649549	177,37,81,2348
1649550	1306,37
1649551	37,5,294
1649552	1577,37
1649553	581,37,131
1649554	37,98
1649555	221,127,37,921
1649556	455,1577,1771,1277,37,177
1649557	37,455
1649558	37,3941,365
1649559	37,133
1649560	188,37
1649561	429,218,37
1649562	127,37
1649563	643,1256,37,1859
1649564	107,37
1649565	705,2086,37,128
1649566	705,107,37
1649567	467,355,400,42,125,634,104,143,273,214,295,3,208,255,37,1822,288,103,217,229,236,124,5,177
1649568	107,37,502
1649569	491,278,276,87,17,692,37
1649570	126,37,51,535
1649571	37,702
1649572	188,223,37,717
1649573	1591,84,131,37,1537
1649574	37,1072,1060
1649575	35,56,231,17,146,37
1649576	37,1260
1649577	15,37,95,131
1649578	221,127,37
1649579	37,1182
1649580	37,122
1649581	37,133
1649582	37,763
1649583	188,618,37,365
1649584	133,2107,46,143,167,37
1649585	56,455,810,179,81,246,1428,15,406,107,38,1968,369,37,5
1649586	188,77,81,128,2491,37
1649587	547,37,131
1649588	229,37
1649589	365,38,131,221,37
1649590	122,15,474,167,37
1649591	60,37,131,104
1649592	37,436,107,81
1649593	1890,139,643,220,15,1344,436,131,221,37,377
1649594	37,921,266,620
1649595	127,35,921,131,221,37
1649596	383,399,2010,18,814,450,37,214
1649597	341,337,37,81
1649598	127,49,257,1580,37
1649599	15,37,221,131
1649600	50,31,74,235,138,33,316,2670,756,37,1986
1649601	37,87
1649602	720,577,949,3009,37
1649603	279,37
1649604	37,377
1649605	37,2569
1649606	396,188,68,46,37
1649607	37,85
1649608	218,663,37
1649609	127,643,2056,429,218,188,544,417,146,510,167,37
1649610	127,721,37,14
1649611	37,48
1649612	221,37
1649613	46,37,455
1649614	231,188,452,436,1234,337,37
1649615	2174,1042,1260,1842,2134,3122,37
1649616	718,56,37,131
1649617	37,131
1649618	14,136,365,1591,37
1649619	269,85,97,626,365,986,680,72,37
1649620	194,37
1649621	125,295,136,164,104,78,1085,208,37,520,3836
1649622	15,84,37
1649623	1102,643,455,188,87,15,107,536,37
1649624	37,2552
1649625	127,56,1405,15,17,547,620,131,221,37
1649626	35,223,436,236,37,93
1649627	502,37
1649628	35,90,1124,208,37
1649629	37,32,87
1649630	663,643,128,228,37,702
1649631	643,37
1649632	221,37,131
1649633	56,133,131,41,37
1649634	85,620,146,192,236,710,37
