	127,797
2396090	628,127,90
2396091	127,1598,81
2396092	221,127,88,53
2396093	127,144
2396094	221,127,620,131
2396095	221,127
2396096	127,222
2396097	127,292
2396098	127,269,216,39,881,15,76,436,131,221,1054
2396099	127,1217,95,228,51
2396100	1821,127
2396101	127,1096
2396102	127,1554,2165
2396103	127,85,124
2396104	127,1209
2396105	127,538,97
2396106	127,56,411,3,893,272,1660
2396107	127,192
2396108	127,620
2396109	127,451,620,131,222
2396110	127,95,1286,1949
2396111	15,127
2396112	127,620
2396113	127,818,1955,844
2396114	127,14,39
2396115	127,1226,511,318
2396116	127,56,620,236,254
2396117	15,127
2396118	127,1022
2396119	563,127,136
2396120	15,56,88,127
2396121	127,81,84,107,667,440,797,88
2396122	127,216
2396123	127,17,152
2396124	127,46
2396125	127,467
2396126	127,179,440
2396127	127,97,219,179,406,152,4282,344,19
2396128	127,46
2396129	127,155,421
2396130	127,1233
2396131	127,160
2396132	127,177
2396133	127,154
2396134	221,451,144,127
2396135	127,359
2396136	127,46,143
2396137	228,127,221
2396138	127,387,128
2396139	127,128,467
2396140	127,359
2396141	127,146
2396142	127,1677,511
2396143	4277,127
2396144	127,3785
2396145	127,620
2396146	127,502,95,1265
2396147	127,95,2189
2396148	228,17,127,1060
2396149	127,160,131
2396150	221,127
2396151	127,620
2396152	127,365,51
2396153	127,620,177
2396154	127,179,236
2396155	127,14,218,131,128
2396156	563,127,216
2396157	307,127
2396158	127,2709
2396159	417,127
2396160	127,620
2396161	426,127,32
2396162	127,272
2396163	127,643,179,143,1537
2396164	127,2006,38,86,32
2396165	127,620,192
2396166	417,127
2396167	127,265,58,1283,2523
2396168	127,95,359,1711,588
2396169	127,160,15,17,46,38,143,176
2396170	127,56,14,2203
2396171	127,3946
2396172	1392,127,728,177
2396173	127,217,236
2396174	127,133,81,46,143
2396175	127,2730
2396176	127,1428
2396177	127,620,14
2396178	127,451,467,15,539,726,46,876,51
2396179	127,245,467,223,505
2396180	127,241
2396181	127,152,81
2396182	127,14
2396183	127,748,53,1993,88,769
2396184	127,620,143,131
2396185	127,93
2396186	127,56,1217,95,502
2396187	188,127,1256,72
2396188	127,801,204,440,387,421
2396189	127,620,143
2396190	127,611,717,358
2396191	127,1132,208,599,88
2396192	127,620
2396193	127,268,88,51
2396194	127,1397
2396195	127,95,505
2396196	221,127,292,93
2396197	127,556,2856
2396198	221,127,219,131
2396199	127,955
2396200	127,1873
2396201	127,440
2396202	127,710,717
2396203	127,131
2396204	15,127,14
2396205	127,67,192,3042
2396206	228,127,881
2396207	127,223,160,93
2396208	127,131,217
2396209	127,359,257
2396210	15,127
2396211	127,301
2396212	127,146,131
2396213	127,85,136,212,365,103,464,246,1591,84,146,177
2396214	127,1815,620,131,221
2396215	127,797
2396216	127,56,286,141,1170
2396217	127,620
2396218	127,1439
2396219	127,624,806,46
2396220	1117,127,15,76
2396221	15,127,890,204
2396222	127,599
2396223	221,17,127,131
2396224	127,17
2396225	127,131
2396226	127,308,49,246,38,60,177
2396227	127,856,628,93,1057
2396228	127,2948
2396229	127,103,620,234,377
2396230	127,177,192
2396231	127,2089,577,715,1383,107
2396232	127,538,2500,179,46,143,359,1462,302
2396233	127,66
2396234	127,464,373,241
2396235	127,510
2396236	127,1120
2396237	127,97,467,133,620,41
2396238	210,127,1057,176
2396239	127,139,218,1060,221,1409
2396240	127,1737,112,1711
2396241	127,372,1378,359
2396242	127,620
2396243	127,397,764,15,155,76
2396244	127,1677,620,1723
2396245	127,502
2396246	127,2920
2396247	127,85,129,187,255
2396248	127,844,592,223,87,871
2396249	188,127,3
2396250	15,127,359
2396251	127,624,806
2396252	127,14,15,67,76,131,221
2396253	127,580
2396254	127,136
2396255	127,281,16
2396256	378,17,127,93
2396257	127,2130
2396258	127,666
2396259	127,449,1801
2396260	127,740
2396261	127,179
2396262	127,805,872,564,254,19
2396263	127,160
2396264	846,127
2396265	127,538,160,1059,38,88
2396266	127,14,292,46,507,236
2396267	127,620
2396268	127,768
2396269	127,620,2523
2396270	127,620,51,910
2396271	378,127,56,15,793,152,254,1497,19
2396272	221,127
2396273	127,14
2396274	127,17,452
2396275	221,127,19,131
2396276	127,84,365,81
2396277	127,56,103,728,17,228,60
2396278	127,577,1456,296
2396279	127,133
2396280	127,282
2396281	127,17,179,279
2396282	127,511
2396283	417,127,95
2396284	127,31,437,304,143,53,1013,5
2396285	127,3727,3283
2396286	127,17,934
2396287	127,56,131,221,510
2396288	127,14,359,131
2396289	221,127
2396290	127,624,177
2396291	127,710
2396292	127,1063,643,87,417
2396293	127,1419
2396294	127,56
2396295	229,127,46
2396296	127,279,365
2396297	127,46,146,131
2396298	127,188,1226,46,146,131,510,2616
2396299	127,1009
2396300	127,17
2396301	127,84,620,373
2396302	127,14
2396303	127,179,365
2396304	127,208,254
2396305	221,127
2396306	15,127,1233
2396307	127,766,93
2396308	378,49,127,97,810,17,726,359
2396309	127,67
2396310	127,673
2396311	127,131
2396312	127,580
2396313	127,382,188,221,717
2396314	221,127
2396315	127,14,620,131
2396316	188,127,81,810
2396317	127,832,14
2396318	127,1497,702
2396319	127,68,133,373,726,32,19
2396320	127,179,365
2396321	127,818,81,84,192,86,584,254
2396322	127,68,87,440,982
2396323	127,217
2396324	127,502
2396325	127,1964
2396326	127,392,801
2396327	221,127,292,131
2396328	221,127
2396329	127,218
2396330	127,179
2396331	1829,127
2396332	127,95,296
2396333	127,3733
2396334	127,46,14,913
2396335	127,502
2396336	127,1022
2396337	127,56,51,236
2396338	127,85,295,755,825,133,251,421
2396339	127,3157,1770,68,2220,155,152,436,620,398
2396340	127,88,192
2396341	188,127
2396342	127,1300,538,1749
2396343	15,127
2396344	127,308,2513,436,1182
2396345	127,2623,217,344,236,32
2396346	127,1677
2396347	1607,127
2396348	127,801,4231,411,103,421
2396349	127,53
2396350	127,85,87
2396351	127,510,617,359
2396352	15,127
2396353	127,218,359,204
2396354	127,1059,497,131,1265
2396355	127,223,627,41
2396356	127,85,14
2396357	127,801
2396358	15,127,88,387
2396359	15,127,51
2396360	221,127,357
2396361	127,691
2396362	127,95,3587
2396363	90,17,1226,127
2396364	467,127,241
2396365	127,14
2396366	127,262,49,17,88
2396367	127,838,810,95,81
2396368	127,728,881,155,128,257,1075,673,19
2396369	221,127,726
2396370	127,109
2396371	127,85
2396372	127,856,17,478,1354,176
2396373	127,56,620
2396374	127,1841
2396375	127,131
2396376	127,14
2396377	127,84,1815,14
2396378	127,801,87
2396379	127,14,212,3071,2012,51
2396380	2868,127
2396381	127,279,1096
2396382	127,510
2396383	127,491,204,620,797,746,251
2396384	127,620
2396385	127,218,3516
2396386	127,451,204,95,276,15,17,539,387,769
2396387	127,451
2396388	127,269,1226,1440,221
2396389	127,538,233,152,988,260
2396390	127,768
2396391	127,212,440,222
2396392	127,491,84,128,257,222
2396393	127,17
2396394	221,127
2396395	127,222
2396396	15,17,127,131
2396397	90,127
2396398	127,2231,36
2396399	127,146
2396400	127,85
2396401	127,107
2396402	221,127,893,131
2396403	127,56,1217,294,810,95,292,146,1060,177
2396404	127,624
2396405	127,38
2396406	127,125
2396407	127,143
2396408	127,284,179,212,131
2396409	127,451,14,204,568,387,15,17,46,539,272,38,192,53,88,125,769,93
2396410	376,127,2342
2396411	378,1054,19,127
2396412	127,136,1459,152,539,387
2396413	127,85,254,217
2396414	127,131
2396415	15,127
2396416	221,56,127
2396417	127,278,241
2396418	127,136
2396419	127,620
2396420	15,127,922
2396421	15,127
2396422	15,127,1207,46
2396423	127,216,1418
2396424	127,3101,666,46,1087,222,627
2396425	127,107,112,365
2396426	127,801,179,218,938,510
2396427	127,974
2396428	15,127
2396429	127,80
2396430	127,56,1670,810,14,218,15,272,2558
2396431	127,234,103,281
2396432	127,56,146,131,221
2396433	127,818,510,1670
2396434	127,359
2396435	127,1013
2396436	127,81
2396437	127,4209
2396438	127,233,97,204,230
2396439	127,810
2396440	127,133,81,620,221,963
2396441	127,131
2396442	1102,127,1132,188,95,464,107,221
2396443	127,174,1217,97
2396444	127,955,2639,15,46,620,38,2012,176
2396445	127,17,819
2396446	221,127,87,1591
2396447	127,357,16
2396448	127,620
2396449	127,1145
2396450	127,219,147,464,246,107,152,1778,143,128,680,1122
2396451	15,127
2396452	127,620
2396453	127,387
2396454	1117,56,127
2396455	127,84,216
2396456	563,127
2396457	127,95
2396458	127,60,49
2396459	127,717
2396460	127,132,191,3293,1260
2396461	127,1066
2396462	127,1451,3,1830,893
2396463	90,1022,127
2396464	127,87,15,38,478,581,387
2396465	127,254
2396466	127,620
2396467	127,294,217,440,192,1283
2396468	127,236
2396469	127,2019,895,38
2396470	127,14,1226,15,17,1158,511,876,718,93
2396471	127,620,1145
2396472	15,127,87
2396473	127,483,3701,620,88
2396474	127,620
2396475	628,49,127,131
2396476	127,160
2396477	127,462
2396478	378,127,1946,76
2396479	127,2012
2396480	127,1306,281
2396481	127,216
2396482	127,14,292,15,53,5
2396483	218,17,127
2396484	127,139,160,2,1964,273
2396485	127,14,179,236,464,620,146,143,131,257,1283,32
2396486	127,801,236
2396487	127,943,230,85
2396488	127,208
2396489	127,88,464
2396490	127,2012
2396491	1718,127
2396492	127,81
2396493	127,205
2396494	127,620
2396495	15,127
2396496	127,143,217,66
2396497	127,620,46,241
2396498	127,104
2396499	127,502,43,128
2396500	341,451,127,222
2396501	127,5
2396502	628,127,15
2396503	127,56
2396504	922,127
2396505	127,131
2396506	127,995
2396507	127,208,599,2907
2396508	127,269,337,38
2396509	127,216
2396510	127,56
2396511	221,2019,620,127
2396512	378,127,56,538,95,68,240,15,17,46,673
2396513	127,60,85,217
2396514	127,107,87,436
2396515	127,1243
2396516	221,127,131
2396517	127,464
2396518	127,2235
2396519	127,357
2396520	127,548,233,658
2396521	127,539,216
2396522	127,365,763
2396523	127,1994
2396524	127,292,146,14
2396525	127,17,294
2396526	307,127,23
2396527	127,440
2396528	127,46
2396529	90,127,255
2396530	127,1409,728
2396531	221,56,127,131
2396532	127,46,131
2396533	127,337
2396534	127,97,2348,42,377
2396535	127,14,955,15,510
2396536	127,17,373,128
2396537	15,127,620,338
2396538	127,359
2396539	127,440
2396540	127,365,464,131
2396541	127,2452,133,2559,705,1609
2396542	127,691,1011
2396543	127,81
2396544	127,718,934
2396545	127,265,85
2396546	127,1217,216,1670,1226,221,176
2396547	127,17
2396548	221,127,131
2396549	127,910
2396550	127,2031
2396551	127,230
2396552	127,262,732,76,38,2590,176
2396553	127,584,365
2396554	127,85,128,1182
2396555	90,127,216
2396556	50,127,1822,132,188,87,440,1283,702,222
2396557	127,409,1926,854,1817,68,286,240,593,15,152,620,76,221,19
2396558	221,127
2396559	127,446,624,146,125
2396560	127,620,38,810
2396561	127,95
2396562	127,793
